stations,n,kim,hub,sch,ley,logbox,l.kim,l.hub,l.sch,l.ley,l.logbox,u.kim,u.hub,u.sch,u.ley,u.logbox
BOM00026850,31247,646.3333,645.6667,413,415.3333,3,-7.0914,-7.2689,-7.8925,-7.8651,-16.8665,7.1722,6.944,7.9679,7.9951,16.9843
BOM00033038,31443.3333,626,629.3333,382.3333,387,1.6667,-7.4509,-7.6656,-8.2936,-8.184,-17.513,7.4064,7.1186,8.227,8.336,17.6159
CA001016940,38004.3333,691.6667,688,414.3333,423,2,-4.48,-4.1685,-4.9752,-5.0875,-11.2371,4.571,4.8193,5.0891,4.9733,11.1742
CA001017230,39476,601,635,348.3333,351.3333,0,-4.8365,-4.5152,-5.3726,-5.5357,-12.2531,5.0403,5.2927,5.6099,5.44,12.2323
CA001018610,37458.6667,1166.3333,1185.3333,804,850.6667,1.3333,-3.7742,-3.367,-4.1882,-4.3583,-11.7209,3.9382,4.2902,4.3877,4.2053,11.6472
CA001032730,35704.6667,673.6667,682.6667,398.3333,394.6667,4,-3.5216,-3.5706,-3.9175,-3.8847,-7.9331,3.4887,3.4198,3.8775,3.9149,7.9475
CA001036570,42412.3333,792.3333,841.6667,468.6667,477.3333,0,-3.956,-3.6901,-4.3942,-4.5275,-10.5707,4.1218,4.3305,4.5878,4.4454,10.5506
CA001054920,26282.3333,769,771,514.6667,510,2.3333,-3.8373,-3.8377,-4.2686,-4.273,-10.3238,3.8745,3.8661,4.3065,4.304,10.3563
CA001060840,36882.3333,1141,1165,810.6667,812,9.6667,-5.2044,-5.3678,-5.7951,-5.7369,-13.2974,5.2425,5.0279,5.8213,5.8811,13.4151
CA001080870,31863.3333,1151,1148,815.3333,814,7,-7.8857,-8.0281,-8.7781,-8.8055,-19.3724,8.1051,7.9254,9.0029,8.9768,19.5558
CA001090660,43846.3333,1397,1414.3333,983,993.6667,7.3333,-7.7211,-7.9776,-8.599,-8.5153,-19.7814,7.8294,7.4957,8.6924,8.7567,19.9896
CA001092970,42247.3333,2066.6667,2076.6667,1516.3333,1509,2,-7.7051,-7.7731,-8.5769,-8.6242,-22.2843,7.9529,7.8573,8.834,8.7888,22.4697
CA001100120,45398,1336.6667,1344.6667,886.3333,889.3333,7.6667,-5.1125,-4.9667,-5.6825,-5.713,-13.3014,5.1279,5.239,5.7044,5.6701,13.273
